id,name,followers_count,friends_count,isProxy
0,"BBCNewsNI",328524,1605,0
1,"focusonline",686200,108,0
2,"welt",1832534,273,0
3,"BILD",1958885,433,0
4,"YouTube",77537347,1198,0
5,"SamsungMobileUS",4792997,18217,0
6,"SPIEGEL_EIL",1892155,25,0
7,"taz_news",69595,2,0
8,"Surfer",286532,426,0
9,"wikileaks",5612633,7400,0
10,"redbull",2026683,25456,0
11,"CHIP_online",848017,318,0
12,"SPIEGEL_Top",322017,26,0
13,"SPIEGEL_Sport",239250,66,0
14,"spiegelonline",464113,276,0
15,"derstandard_at",17454,10,0
16,"extreme_sports",1742,41,0
17,"sternde",1416498,534,0
18,"sportstudio",628906,1505,0
19,"ntvde",838668,33585,0
20,"988KISSFM",28616,115,0
21,"spox_news",15815,1,0
22,"Google",27485218,295,0
23,"SpeedJumper",4,4,0
24,"derStandardat",368469,27208,0
25,"FAZ_Sport",67366,58,0
26,"chaosupdates",231456,224,0
27,"BILD_Digital",17016,16,0
28,"profilonline",181329,1197,0
29,"GoogleDE",97024,274,0
30,"Olympics",6489747,5021,0
31,"Seehafenfliegen",5132,3433,0
32,"ZDF",1421538,395,0
33,"JogyWolfmeyer",698,1150,0
34,"intstandardat",853,353,0
35,"DFB_Frauen",84560,189,0
36,"memecon",5265,4782,0
37,"_extreme_sports",1276,1293,0
38,"itx_coach",13631,16653,0
39,"Sportkultur",17684,876,0
40,"Tickets_Wien",1657,1450,0
41,"EurosportDE",12854,734,0
42,"ivyliceclothing",1844,2691,0
43,"shopdotsurf",50837,19470,0
44,"echassesurbaine",53,7,0
45,"hedcamz",1718,328,0
46,"allpet_top",19658,628,0
47,"SPORTBILD",412633,964,0
48,"7evenMilers",11,15,0
49,"BBCSport",10609043,642,0
50,"TwitterSports",14855186,2145,0
51,"RebelMouse",88507,14358,0
52,"mkornhaeusl",16,17,0
53,"LetsGoRadioNZNZ",248,176,0
54,"Poweriser_uy",26,40,0
55,"DeM2",617,952,0
56,"90fieber",385,1671,0
57,"ImagineOurLife",2365,2072,0
58,"VogrinVerkauf",140,360,0
59,"_wackeldackel_",941,1611,0
60,"VizardsHollow",93,659,0
61,"Daniel73Wolf",15,174,0
62,"jumper0026",3,12,0
63,"DanielWabnig",7,0,0
64,"effect_online",37,541,0
65,"Hookahaus",92,4,0
66,"BouncerCamp",5,10,0